问答对,answer,#1问句类型,#1领域类型,#1语义类型,#2问句类型,#2领域类型,#2语义类型
2019年1月11日，殷正以1分56秒04获得了2018-2019赛季国际雪车联合会钢架雪车北美杯加拿大卡尔加里站男子组第多少名？,第十四,Which,Competition,Factoid,NA,NA,NA
在什么时候，殷正以1分53秒81获得了2018-2019赛季国际雪车联合会钢架雪车北美杯加拿大卡尔加里站第二场男子组亚军？,2019年1月12日,When,Competition,Factoid,NA,NA,NA
2019年1月12日，殷正以1分53秒81获得了哪项赛事亚军？,2018-2019赛季国际雪车联合会钢架雪车北美杯加拿大卡尔加里站第二场男子组,Which,Competition,Factoid,NA,NA,NA
2016年6月16日下午，江苏省速滑队在苏州市运河公园揭牌成立，这是全国第几支速度轮滑、速度滑冰两栖发展的运动队？,第一支,Which,Competition,Factoid,NA,NA,NA
江苏省速滑队的中文队名怎么称呼？,江苏省速滑队,How,Competition,Factoid,NA,NA,NA
江苏省速滑队的所属地区是哪里？,江苏省,Where,Competition,Factoid,NA,NA,NA
江苏省速滑队的现任主教练是谁？,贺鑫,Who,Competition,Factoid,NA,NA,NA
江苏省速滑队的运动项目是哪项？,速度轮滑、速度滑冰,Which,Competition,Factoid,NA,NA,NA
江苏省速滑队的成立时间是什么时候？,2016年6月16日,When,Competition,Factoid,NA,NA,NA
江苏省速滑队教练说：目前队里有多少名队员，将全部进入冰轮两栖训练轨道？,28名,Who,Competition,Factoid,How,Competition,Calculation
江苏省速滑队郭丹获得了女子5000米比赛第几名？,第六名,Which,Competition,Factoid,NA,NA,NA
江苏省速滑队郭丹获得了女子3000米比赛第几名？,第九名,Which,Competition,Factoid,NA,NA,NA
2015年1月，江苏轮滑队首次尝试速度滑冰训练，选派7名主力队员前往长春试训多少天？,40,Who,Competition,Factoid,How,Competition,Calculation
2015年12月，在全国青年速度滑冰锦标赛上，19岁的苏州轮滑新星李思杉夺得4000米女子集体出发项目第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
2016年1月，在全国冬季运动会上郭丹获得女子3000米比赛第几名？,第九名,Which,Competition,Factoid,NA,NA,NA
2016年1月，在全国冬季运动会上郭丹获得女子5000米比赛第几名？,第六名,Which,Competition,Factoid,NA,NA,NA
原江苏轮滑队主教练贺鑫是否继续担任江苏速滑队主教练？,是的,Whether,Competition,Factoid,NA,NA,NA
江苏省速滑队郭丹是否是中国迄今唯一的轮滑世界冠军？,是的,Whether,Competition,Factoid,NA,NA,NA
多少年1月，江苏轮滑队首次尝试速度滑冰训练，选派7名主力队员前往长春试训40天？,2015,When,Competition,Factoid,Who,Competition,Factoid
2015年多少月，在全国青年速度滑冰锦标赛上，19岁的苏州轮滑新星李思杉夺得4000米女子集体出发项目冠军？,12,When,Competition,Factoid,NA,NA,NA
2016年1月，在全国冬季运动会上郭丹获得哪项比赛第九名、5000米比赛第六名？,速度滑冰女子3000米,Which,Competition,Factoid,NA,NA,NA
根据规划，在多少年，在正在筹建的苏州体育训练基地中将新建一座真冰场？,2017,When,Competition,Factoid,NA,NA,NA
河北省张家口赛区冬奥会建设项目投资审批改革试点方案《河北省张家口赛区冬奥会建设项目投资审批改革试点方案》由国务院办公厅于什么时候批复并且发布？,2017年5月4日,When,Competition,Factoid,NA,NA,NA
河北省张家口赛区冬奥会建设项目投资审批改革试点方案试点期为多少年，自国务院批复之日起算？,3,How,Competition,Calculation,NA,NA,NA
河南滑雪是哪个滑雪场的总称？,河南省滑雪场的总称,Which,Competition,Factoid,NA,NA,NA
河南滑雪的中文名怎么称呼？,河南滑雪,How,Competition,Factoid,NA,NA,NA
河南滑雪的外文名怎么称呼？,Henanski,How,Competition,Factoid,NA,NA,NA
河南滑雪度假区依山而建，比邻少林寺，项目规划总面积多少平方公里？,8区,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪整个度假区共设有初、中、高级雪道近多少条？,50条,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪度假区总投资达多少亿元？,3.5亿,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪整个度假区共设有初、中、高级雪道近50条，其中包括多少条高山野雪道？,2条,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪度假区雪场内，单条雪道最长距离多少公里？,2.8公里,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪度假区雪场内，单条雪道最大落差多少米？,470米,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪度假区雪场内，雪道总长度为多少公里？,30公里,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪度假区雪场内，总面积多少万平方米？,100万,How,Competition,Calculation,NA,NA,NA
桃花峪生态滑雪场造雪面积为15万平方米，另有多少平方米的综合服务大厅？,5000多平方米,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪整个度假区共设有初、中、高级雪道近50条，其中包括了2条高山野雪道，多少条单板雪道？,4条,How,Competition,Calculation,NA,NA,NA
中岳嵩顶滑雪度假区坐落于河南省巩义市嵩山北路，地处郑州-巩义-洛阳工业走廊核心地带，距离郑州、洛阳、焦作均在75公里之内，行驶时间不到多少小时？,1,How,Competition,Calculation,NA,NA,NA
桃花峪生态滑雪场造雪面积为多少万平方米，另有5000多平方米的综合服务大厅？,15万,How,Competition,Calculation,NA,NA,NA
洛灵的中文名怎么称呼？,洛灵,How,Competition,Factoid,NA,NA,NA
洛灵的国籍是哪？,德国,Where,Competition,Factoid,NA,NA,NA
洛灵的运动项目是哪项？,钢架雪车,Which,Competition,Factoid,NA,NA,NA
2018年12月15日，洛灵以1分55秒16获得了2018-2019赛季国际雪车联合会钢架雪车世界杯德国温特贝格站女子钢架雪车第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
哪年12月15日，洛灵以1分55秒16获得了2018-2019赛季国际雪车联合会钢架雪车世界杯德国温特贝格站女子钢架雪车冠军？,2018年,When,Competition,Factoid,NA,NA,NA
2019年1月5日，洛灵以1分57秒79获得了2018-2019赛季国际雪车联合会钢架雪车世界杯德国阿腾堡站女子钢架雪车第几名？,第二名,Which,Competition,Factoid,NA,NA,NA
2019年1月19日，洛灵以1分49秒09获得了2018-2019赛季国际雪车联合会钢架雪车世界杯奥地利因斯布鲁克站女子组第几名？,第三名,Which,Competition,Factoid,NA,NA,NA
2019年1月26日，洛灵以2分18秒63获得了2018-2019赛季国际雪车联合会钢架雪车世界杯瑞士圣莫里茨站女子组第几名？,第三名,Which,Competition,Factoid,NA,NA,NA
2019年1月26日，洛灵以2分18秒63获得了哪项比赛的季军？,2018-2019赛季国际雪车联合会钢架雪车世界杯瑞士圣莫里茨站女子组,Which,Competition,Factoid,NA,NA,NA
多少年1月5日，洛灵以1分57秒79获得2018-2019赛季国际雪车联合会钢架雪车世界杯德国阿腾堡站女子钢架雪车亚军？,2019,When,Competition,Factoid,NA,NA,NA
滑雪的起源国家是谁？,斯堪的纳维亚,Who,Competition,Factoid,NA,NA,NA
滑雪的外文名怎么称呼？,skiing,How,Competition,Factoid,NA,NA,NA
最新出现的旅游滑雪项目有哪些项目？,单板滑雪、超短板滑雪、越野滑雪等,Which,Competition,Factoid,NA,NA,NA
滑雪在从空中着地必须有多少左右的倾斜度和60厘米以上的软积雪层？,37,How,Competition,Calculation,NA,NA,NA
花样滑雪是在什么时候，为美国具有开拓精神的年轻一代滑雪运动员们所创？,20世纪60年代末,When,Competition,Factoid,Who,Competition,Factoid
北极圈附近，曾发现多少年以前的一块石刻，上面刻有两人滑雪的图形？,4000,How,Competition,Calculation,NA,NA,NA
山地小回转，小回转滑雪在男子的比赛线路上插有55－75个门形，女子比赛线路上插有多少个门形？,45－60个门形,How,Competition,Calculation,NA,NA,NA
平行大回转高度差为120-200米，三角旗门交替放置在左右，约有多少个旗门，旗门间距至少8米？,25个,How,Competition,Calculation,NA,NA,NA
平行大回转场地长多少米？,936米,How,Competition,Calculation,NA,NA,NA
平行大回转平均坡度多少度？,18.21,How,Competition,Calculation,NA,NA,NA
平行大回转场第坡高多少米？,290米,How,Competition,Calculation,NA,NA,NA
滑雪比赛共有两轮预选赛，首轮预选赛前多少名选手直接晋级决赛？,六名,How,Competition,Calculation,NA,NA,NA
都灵冬奥会上有男女各多少名选手参赛，两轮资格赛上每个选手将单独出发，用时排在前16名的选手进入1/4决赛？,32名,How,Competition,Calculation,NA,NA,NA
跳雪比赛中，设有哪两个跳雪项目？,70米级和90米级台,Which,Competition,Factoid,NA,NA,NA
滑雪大腿锻炼理由：滑雪对腿部力量要求高，滑行时有多少%的力量靠大腿，主要是保持身体的平衡和整个运动的力量？,80,How,Competition,Calculation,NA,NA,NA
到2006年全国各地有多少个滑雪场？200多,,How,Competition,Calculation,NA,NA,NA
到2006年全国各地滑雪人数突破了多少万人次？,400万,How,Competition,Calculation,NA,NA,NA
滑雪北欧式：滑雪包括了哪两种？,越野滑雪（CrossCountrySkiing）和滑雪跳跃（SkiJumping）,Which,Competition,Factoid,NA,NA,NA
单板滑雪比赛共有两轮预选赛，首轮预选赛前六名选手直接晋级决赛，其余选手参加第二轮预选赛，前多少名选手也获得决赛权？,六名,How,Competition,Calculation,NA,NA,NA
单板滑雪比赛从1/4比赛开始，每组有多少名选手参赛，获得前两名的进入下一轮？,四名,How,Competition,Calculation,NA,NA,NA
现代滑雪现代滑雪运动大致可分为几种类别？,三种,How,Competition,Calculation,NA,NA,NA
大回转滑雪男子线路标高差为多少米？,300-400米,How,Competition,Calculation,NA,NA,NA
大回转滑雪女子线路标高差为多少米？,250～350米,How,Competition,Calculation,NA,NA,NA
滑雪评分标准是腾空、起跳、高度及距离占20%；身体姿势和技巧动作表演水平占50%；落地占多少%？,30,How,Competition,Calculation,NA,NA,NA
滑雪为什么要锻炼腹部？,腹部是身体的核心肌肉群，是人体上半身和下半身的枢纽部位，做任何事情都需要用腹部的力量，腹部是人体非常重要的核心部位，滑雪也不例外,Why,Competition,Descriptive,NA,NA,NA
滑雪为什么要锻炼大腿？,滑雪对腿部力量要求高，滑行时有80%的力量靠大腿，主要是保持身体的平衡和整个运动的力量,Why,Competition,Descriptive,NA,NA,NA
滑雪为什么要锻炼手臂？,滑雪仗起到在运动中平衡身体的作用，而使雪仗发力的是双臂，用手臂的力量来推动身体前行，所以手臂的力量也非常重要,Why,Competition,Descriptive,NA,NA,NA
滑雪为什么要锻炼臀部？,在滑雪运动中，主要的重心都是在下半身，尤其是臀部，有力量的臀部可保持身体的稳定性,Why,Competition,Descriptive,NA,NA,NA
滑雪为什么要锻炼小腿？,剩下20%的力量来自小腿，主要是用于刹车,Why,Competition,Descriptive,NA,NA,NA
滑雪为什么有氧训练必不可少？,因为滑雪运动对心肺功能要求很高,Why,Competition,Descriptive,NA,NA,NA
滑雪趣味追逐赛比赛分为哪些？,资格赛、八分之一决赛、四分之一决赛、半决赛和决赛,Which,Competition,Factoid,NA,NA,NA
为什么固定器是避免滑雪伤害的重要防护器具之一？,因为所有的滑雪板上都有将滑雪靴固定在其上的装置，在滑雪者跌倒时固定器会迅速松脱，,Why,Competition,Descriptive,NA,NA,NA
为什么雪质会呈现各种各样的形态？,因为一般来说，由于下雪时和下雪后的气象条件不同，,Why,Competition,Descriptive,NA,NA,NA
为什么滑雪手臂的力量也非常重要？,滑雪仗起到在运动中平衡身体的作用，而使雪仗发力的是双臂，用手臂的力量来推动身体前行，,Why,Competition,Descriptive,NA,NA,NA
国际滑雪联合会成立于多少年？,1924,When,Competition,Factoid,NA,NA,NA
高山滑雪比赛线路长度男子为1500～2000米，女子在多少米以上？,1000,How,Competition,Calculation,NA,NA,NA
高山滑雪高标差：男子250～400米；女子250～多少米？,350,How,Competition,Calculation,NA,NA,NA
滑雪若是在空中需要着地，着地时必须有37左右的倾斜度和多少厘米以上的软积雪层？,60,How,Competition,Calculation,NA,NA,NA
自由滑雪雪上技巧场地长200～270米，宽15～25米，坡度为24～多少度？,32,How,Competition,Calculation,NA,NA,NA
滑雪，空中技巧的滑雪板男子不短于1.90米，女子不短于多少米？,1.8,How,Competition,Calculation,NA,NA,NA
滑雪的空中技巧它始于多少世初？,20,When,Competition,Factoid,NA,NA,NA
滑雪空中技巧运动员使用的滑雪板男子不短于1.90米，女子不短于1.多少米？,80,How,Competition,Calculation,NA,NA,NA
高山速降起点到终点高度男子为500－多少米？,700,How,Competition,Calculation,NA,NA,NA
高山速降线路长多少米以上？,2000米,How,Competition,Calculation,NA,NA,NA
山地小回转比赛线路长度男子为600－700米，女子400－500米，坡度多少度以上的段落占比赛全程的四分之一？,30,How,Competition,Calculation,NA,NA,NA
山地小回转在男子的比赛线路上插有多少个门形，女子比赛线路上插有45－60个门形？,55－75,How,Competition,Calculation,NA,NA,NA
大回转滑雪男子比赛线路长度为多少米，女子为1000米以上？,1500-2000,How,Competition,Calculation,NA,NA,NA
大回转滑雪坡度为15－多少度？,32,How,Competition,Calculation,NA,NA,NA
滑降道落差最大，距离也最长，最高时速达多少公里？,130,How,Competition,Calculation,NA,NA,NA
平行大回转场地长936米，平均坡度18.21度，坡高多少米？,290,How,Competition,Calculation,NA,NA,NA
滑雪型池场地为U形滑道，长120米，宽15米，深3.5米，平均坡度多少度？,18,How,Competition,Calculation,NA,NA,NA
滑雪越野赛，比赛场地高度差为100-240米，平均坡度为14%-18%，路线长度为500-900米，赛道宽度约为40米，比赛用时约为40-多少秒？,70,How,Competition,Calculation,NA,NA,NA
滑雪资格赛上每个选手将单独出发，用时排在前多少名的选手进入1/4决赛？,16,Which,Competition,Factoid,NA,NA,NA
第九届冬奥会开始统一跳台级别，才分别规定为上述的70米和多少米两种？,90,Which,Competition,Factoid,NA,NA,NA
人工造的雪主要有压实的粉状雪、雪道雪等计多少种？,60,How,Competition,Calculation,NA,NA,NA
滑雪锻炼小腿时脚后跟儿，并且尽可能地抬高，这样坚持多少秒钟之后在缓慢放下？,10,How,Competition,Calculation,NA,NA,NA
滑雪按计划进行已培养了多少多名称职者？,500,How,Competition,Calculation,NA,NA,NA
中国年滑雪人次能够达到1000万，产值近多少亿？,40,How,Competition,Calculation,NA,NA,NA
滑雪评分标准是：腾空、起跳、高度及距离占多少%；身体姿势和技巧动作表演水平占50%；落地占30%？,20,How,Competition,Calculation,NA,NA,NA
滑雪空中技巧表演场地的跳台分小、中、大多少种？,3,How,Competition,Calculation,NA,NA,NA
滑雪雪上技巧场地长多少～270米，宽15～25米，坡度为24～32度？,200,How,Competition,Calculation,NA,NA,NA
滑雪滑雪板男子不短于多少.90米，女子不短于1.80米？,1,How,Competition,Calculation,NA,NA,NA
滑雪空中技巧它始于多少世初？,20,When,Competition,Calculation,NA,NA,NA
滑雪线路长2000米以上，坡度5－35度，平均多少度，起点到终点高度男子为500－700米？,20,How,Competition,Calculation,NA,NA,NA
滑雪比赛线路长度男子为多少－700米，女子400－500米，坡度30度以上的段落占比赛全程的四分之一？,600,How,Competition,Calculation,NA,NA,NA
滑雪坡度为多少－32度？,15,How,Competition,Calculation,NA,NA,NA
滑雪大回转的转弯设计速度为多少－20米/秒？,15,How,Competition,Calculation,NA,NA,NA
滑雪平行大回转场地长多少米，平均坡度18.21度，坡高290米？,936,How,Competition,Calculation,NA,NA,NA
滑雪起点旗门（高多少米，底座宽1.30米）的两个立柱高度不同，中间有一面三角旗？,1.1,How,Competition,Calculation,NA,NA,NA
滑雪型池场地为U形滑道，长多少米，宽15米，深3.5米，平均坡度18度？,120,How,Competition,Calculation,NA,NA,NA
滑雪运动员在音乐伴奏下在U形滑道内边滑行边利用滑道做各种旋转和跳跃动作，五名裁判员根据完成的动作难度和效果评分，每人最高分不超过多少分，五个得分之和为该选手本轮比赛得分？,10,How,Competition,Calculation,NA,NA,NA
滑雪最后多少名决赛选手进行两轮比赛，根据两轮决赛中的最好成绩排定最后的名次？,12,How,Competition,Calculation,NA,NA,NA
滑雪越野赛，比赛场地高度差为多少-240米，平均坡度为14%-18%，路线长度为500-900米，赛道宽度约为40米，比赛用时约为40-70秒？,100,How,Competition,Calculation,NA,NA,NA
滑雪弹跳力，使身体跃入空中，使整个身体在空中飞行约多少-5秒钟后，落在山坡上？,4,How,Competition,Calculation,NA,NA,NA
滑雪跳台组成，在挪威、瑞典流传很长时间，成为北欧的传统项目，故又称北欧全能。多少世纪中期，北欧两项运动首先出挪威？,19,When,Competition,Factoid,NA,NA,NA
滑雪初学者在选择滑雪场地时，坡度不能太陡，多少度左右最好，滑雪道要宽，50米左右为宜？,6,How,Competition,Calculation,NA,NA,NA
滑雪初学者在选择滑雪场地时，滑雪道要宽，多少米左右为宜？,50米,How,Competition,Calculation,NA,NA,NA
肘关节成多少度，让双臂以肩为轴慢慢运动至与肩平行，注意不要耸肩，用肘部力量带动手臂的运动？,90,How,Competition,Calculation,NA,NA,NA
中国的滑雪产业经过前多少年的积累，正处于较快发展时期？,10,How,Competition,Calculation,NA,NA,NA
滑雪到多少年全国各地有200多个滑雪场，滑雪人数突破了400万人次？,2006,When,Competition,Factoid,NA,NA,NA
滑雪预计到多少年中国年滑雪人次能够达到1000万，产值近40亿？,2010,When,Competition,Factoid,NA,NA,NA
"滑雪指导员指导者在指导过程中无论在何种情况下都要公平对待滑雪者,不能因为技能差别而有不同对待,要平等地给予建议,不能偏袒吗？",没错,Whether,Competition,Opinion,NA,NA,NA
滑雪服的中文名怎么称呼？,滑雪服,How,Competition,Factoid,NA,NA,NA
滑雪服的外文名怎么称呼？,Skisuit,How,Competition,Factoid,NA,NA,NA
滑雪服它的内层有几层单向芯吸效应的化纤材料？,一层,How,Competition,Calculation,NA,NA,NA
为什么滑雪服在选择贴身内衣时，最好不用棉制品，而用专门的丝普纶材料制成的贴身、透气并能让汗水分子透出的内衣？,因为滑雪活动是一项在寒冷环境中进行的体育运动，,Why,Competition,Descriptive,NA,NA,NA
为什么滑雪服从材料上看，滑雪服的外料应选用耐磨防撕、防风，表面经防风处理的尼龙或防撕布材料较好？,因为我国滑雪场大部分处于内陆，属于寒冷、干燥气候，温度低，风大，雪质较硬，,Why,Competition,Descriptive,NA,NA,NA
为什么滑雪服滑雪手套要宽大，要选择五指分开的，手套腕口要长？,因为经常需要用手去整理滑雪器材和持握滑雪杖滑行，,Why,Competition,Descriptive,NA,NA,NA
滑雪板其一般分为哪些？,高山板、越野冬季两项板、跳台板、自由式板、单板等,Which,Competition,Factoid,NA,NA,NA
滑雪板的长度根据本人经验，初学者最好以自己的身高再加多少厘米左右即可？,5,How,Competition,Calculation,NA,NA,NA
滑雪板的长度173厘米身高，应选择多少厘米板长？,180,How,Competition,Calculation,NA,NA,NA
滑雪板发明于多少世纪初的北欧，用来提高滑雪者在滑雪时的速度？,20,When,Competition,Factoid,NA,NA,NA
滑雪板的固定器和靴子按照习惯角度摆放好后，是否有过多的部分宽出板面，比如说多少个脚指都在外面，板子就不够宽，容易在滑行的时候因为无法正常使用板边滑行而发生事故？,5,How,Competition,Calculation,NA,NA,NA
滑雪登山的外文名怎么称呼？,英文：Skimountaineering，法语：SkiAlpine,How,Competition,Factoid,NA,NA,NA
2017年7月10日，国际滑雪登山联盟（ISMF）对外宣布滑雪登山项目已经被列为哪年洛桑冬季青年奥林匹克运动会的正式比赛项目？,2020,When,Competition,Factoid,NA,NA,NA
滑雪眼镜可以防止紫外线对眼睛的灼伤吗？,可以,Whether,Competition,Factoid,NA,NA,NA
滑雪眼镜镜框材料轻且韧性好，可以对折，不会有很沉的感觉吗？,不会,Whether,Competition,Factoid,NA,NA,NA
为什么滑雪眼镜需要滑雪镜来保护滑雪者的眼睛？,因为由于雪地上阳光反射很厉害，加上滑行中冷风对眼睛的伤害很大，,Why,Competition,Descriptive,NA,NA,NA
国产品牌滑雪镜艾乐威ALEVIN推出的飞马系列滑雪镜的价格比较高，市场一般销售价在多少元左右？,150,How,Competition,Calculation,NA,NA,NA
滑雪装备PE塑胶板，此保护垫加保护片厚度可达多少厘米，不但增强了保护功能，而且可防止裤子外穿时不受磨损，据使用者反应，效果非常不错？,3,How,Competition,Calculation,NA,NA,NA
"滑雪装备Snowblakes,BigFoot或DoubleTrouble是只有多少米到1米长，但较一般雪板，它们出现在80年代，只在少数国家在一些特殊场合(如滑雪学校)中只在滑雪学校中受欢迎？",0.5,How,Competition,Calculation,NA,NA,NA
玉泉威虎山森林公园滑雪场的占地面积多少公顷？,100公顷,How,Competition,Calculation,NA,NA,NA
玉泉威虎山森林公园滑雪场的中文名怎么称呼？,玉泉威虎山森林公园,How,Competition,Factoid,NA,NA,NA
玉泉威虎山森林公园滑雪场的成立时间是什么时候？,1995年,When,Competition,Factoid,NA,NA,NA
玉泉威虎山森林公园滑雪场的地理位置在哪？,坐落于哈尔滨市阿城区玉泉镇境内,Where,Competition,Factoid,NA,NA,NA
玉泉威虎山森林公园滑雪场的所属哪个省份？,黑龙江省,Which,Competition,Factoid,NA,NA,NA
玉泉威虎山森林公园滑雪场冬季开展的活动项目有什么？,：滑雪，滑冰，冰球，雪橇，马爬犁，雪山漂流，雪地足球，雪地匹特博枪战，高山速降滑道，游园，登长城，射箭等,Which,Competition,Factoid,NA,NA,NA
玉泉威虎山森林公园滑雪场公园有雪原宾馆，林海酒店，滑雪俱乐部等配套服务设施，可同时接待多少人住宿，五百人用餐？,200,How,Competition,Calculation,NA,NA,NA
玉泉威虎山森林公园滑雪场几年来公园滑雪旅游规模档次不断提高，已开发投入使用三个滑雪场，五条雪道，雪道总长度达多少米？,2600,How,Competition,Calculation,NA,NA,NA
王秀丽的中文名是怎么称呼？,王秀丽,How,Competition,Factoid,NA,NA,NA
王秀丽的出生日期是什么时间？,1964年,When,Competition,Factoid,NA,NA,NA
王秀丽的出生地在哪？,黑龙江省哈尔滨市,Where,Competition,Factoid,NA,NA,NA
王秀丽的运动项目是哪项？,速滑,Which,Competition,Factoid,NA,NA,NA
王秀丽在第五届全国冬运会上，获得了1000米速滑的第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
王秀丽在第五届全国冬运会上，并摘取了哪项的铜牌？,全能,Which,Competition,Factoid,NA,NA,NA
王秀丽获得了多少年黑龙江省“十佳”运动员的称号？,1983,When,Competition,Factoid,NA,NA,NA
王秀丽在加拿大卡尔加里世界女子速滑锦标赛上获得了1500米速滑第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
王秀丽在加拿大卡尔加里世界女子速滑锦标赛上成为中国第几个女子速滑世界冠军？,第一个,Which,Competition,Factoid,NA,NA,NA
王秀丽10岁进入哈尔滨市体校，师从宗成熙学习滑冰，多少年进入专业队？,1978,When,Competition,Factoid,NA,NA,NA
王秀丽在1983年举行的中日对抗赛中，她打破了哪项比赛全国纪录？,女子速滑3000米,Which,Competition,Factoid,NA,NA,NA
王秀丽在1983年举行的中日对抗赛中，创造了哪项比赛最好成绩？,女子速滑5000米,Which,Competition,Factoid,NA,NA,NA
王秀丽是罗致焕获得世界男子速滑锦标赛多少米第一名后的第二位夺冠的中国人？,1500,Which,Competition,Factoid,NA,NA,NA
王秀丽在荷兰世界青年速滑锦标赛上，她又取得了多少米第二和全能第六的好成绩？,速滑1000,Which,Competition,Factoid,NA,NA,NA
王金玉的中文名怎么称呼？,王金玉,How,Competition,Factoid,NA,NA,NA
王金玉的出生地在哪？,山东东阿,Where,Competition,Factoid,NA,NA,NA
王金玉的运动项目是哪项？,速度滑冰,Which,Competition,Factoid,NA,NA,NA
王金玉的国籍是哪？,中国,Who,Competition,Factoid,NA,NA,NA
王金玉的出生日期是什么时候？,1940年9月,When,Competition,Factoid,NA,NA,NA
王金玉是第几届全国人大代表？,第三届,Which,Competition,Factoid,NA,NA,NA
王金玉是第几届全国政协委员？,第五，第六届,Which,Competition,Factoid,NA,NA,NA
王金玉，1956年开始进行速滑训练，1958年入哈尔滨滑冰队，多少年毕业于哈尔滨体育学院冰雪系？,1964,When,Competition,Factoid,NA,NA,NA
王金玉多少年加入中国共产党？,1965,When,Competition,Factoid,NA,NA,NA
王金玉1959年在挪威世界比赛在全能赛中获得第多少名？,9,How,Competition,Calculation,NA,NA,NA
王金玉1959年在挪威世界比赛速滑10000米获得第几名？,第5名,Which,Competition,Factoid,NA,NA,NA
王金玉，多少年开始进行速滑训练，1958年入哈尔滨滑冰队，1964年毕业于哈尔滨体育学院冰雪系，1965年加入中国共产党？,1956,When,Competition,Factoid,NA,NA,NA
王金玉在多少年在全国速滑比赛中，创1500米、5000米和10000米速滑全国纪录，并获男子速滑个人全能冠军？,1958,When,Competition,Factoid,NA,NA,NA
王金玉在多少年莫斯科世界比赛1500米第三名，全能第五名，并获亚洲最佳运动员奖？,1962,When,Competition,Factoid,NA,NA,NA
瑞士滑雪的国家在哪？,瑞士,Where,Competition,Factoid,NA,NA,NA
瑞士滑雪的地点是在哪？,阿尔卑斯山,Where,Competition,Factoid,NA,NA,NA
瑞士滑雪的滑雪坡道总共有多长？,82公里,How,Competition,Calculation,NA,NA,NA
"瑞士滑雪设施：滑雪坡道：82公里，几条黑道，8条吊椅,33公里13条红道？",4条,How,Competition,Calculation,NA,NA,NA
雪朗峰区间，这里有数条6到12公里不等的雪道，总长达到213公里，共有多少条吊缆车提供服务？,44条,How,Competition,Calculation,NA,NA,NA
圣莫里茨附近有4个大滑雪区，包括内尔山，科尔瓦奇峰，穆奥塔斯穆拉佑和迪亚沃勒扎，最高处海拔高度超过多少米？,3000,How,Competition,Calculation,NA,NA,NA
达沃斯吸引了来自世界各地滑雪爱好者，其运输设施将滑雪者带往该地区的5个滑雪场，在310公里的滑雪坡道上有多少个登山吊车？,50,How,Competition,Calculation,NA,NA,NA
格施塔德设有63个上山吊车和缆车，设有观景台的舒适山区餐馆，40多处有冰壶、滑冰等冬季项目的设施，另外还有多少公里的越野坡地？,123公里,How,Competition,Calculation,NA,NA,NA
"弗林斯和莱克斯是两个相邻的村庄,它有220公里的滑雪坡道，高度由1,100米至3,020米，并有多少架上山吊车和缆车？",29,How,Competition,Calculation,NA,NA,NA
马特宏峰脚下，这里有几个主要滑雪区？,3个,How,Competition,Calculation,NA,NA,NA
萨斯费也是冬季体育运动的理想去处，拥有多少公里的滑雪坡道，即使在夏季也能滑雪？,145,How,Competition,Calculation,NA,NA,NA
"铁力土山滑雪设施：滑雪坡道：82公里，4条黑道，8条吊椅,最长的滑雪道是从铁力士到英格堡全场多少公里？",12,How,Competition,Calculation,NA,NA,NA
圣莫里茨设施是共有多少条现代化的吊、缆车？,60条,How,Competition,Calculation,NA,NA,NA
铁力士山滑雪场地海拔高度差达多少米？,2000,How,Competition,Calculation,NA,NA,NA
圣莫里茨附近有4个大滑雪区，包括内尔山，科尔瓦奇峰，穆奥塔斯穆拉佑和迪亚沃勒扎，最高处海拔高度超过多少米？,3000,How,Competition,Calculation,NA,NA,NA
达沃斯吸引了来自世界各地滑雪爱好者，其运输设施将滑雪者带往该地区的5个滑雪场，在多少公里的滑雪坡道上有50个登山吊车？,310,How,Competition,Calculation,NA,NA,NA
施塔德的高级滑雪区被视为滑雪天堂，多少公里的滑雪坡地？,250,How,Competition,Calculation,NA,NA,NA
"弗林斯和莱克斯是两个相邻的村庄,它有多少公里的滑雪坡道，高度由1,100米至3,020米，并有29架上山吊车和缆车？",220,How,Competition,Calculation,NA,NA,NA
阿罗萨滑雪坡道达多少公里长？,70,How,Competition,Calculation,NA,NA,NA
维毕尔滑雪场从山脚到山顶滑道，往往得换上二、三趟缆车才到达，一趟滑下来就是好几公里，而维毕尔的最长滑道，就超过8公里以上，最短的滑道也长达多少公里？,1,How,Competition,Calculation,NA,NA,NA
雪朗峰区间，这里有数条多少到12公里不等的雪道，总长达到213公里，共有44条吊、缆车提供服务？,6,How,Competition,Calculation,NA,NA,NA
"圣莫里茨附近有多少个大滑雪区，包括内尔山，科尔瓦奇峰，穆奥塔斯穆拉佑和迪亚沃勒扎，最高处海拔高度超过3,000米？",4,How,Competition,Calculation,NA,NA,NA
